# Wanajo, Nomoto, Janka, Kitaura & Muller 2009, ApJ 695, 208, Table 2
# Isotope masses ejected (Msun, after decay) for the 1D electron-capture SN of an 8.8 Msun
# SAGB/ONeMg-core progenitor. ST = standard model; FP3 = modified electron-fraction
# sensitivity variant (reduced neutron excess -> far less 90Zr etc).
isotope               ST           FP3
97Mo        1.460000e-12  2.090000e-13
50Ti        3.350000e-12  7.440000e-14
98Mo        6.960000e-18  0.000000e+00
50V         1.940000e-09  2.970000e-10
100Mo       0.000000e+00  0.000000e+00
51V         1.950000e-06  2.230000e-06
96Ru        2.590000e-11  1.580000e-11
50Cr        1.410000e-06  1.640000e-06
98Ru        2.860000e-12  6.570000e-14
52Cr        1.500000e-05  1.820000e-05
99Ru        1.700000e-14  8.730000e-16
53Cr        1.040000e-06  1.220000e-06
100Ru       7.230000e-15  4.990000e-16
54Cr        1.260000e-08  1.860000e-09
101Ru       2.580000e-16  2.170000e-17
55Mn        3.410000e-06  2.880000e-06
102Ru       9.020000e-19  0.000000e+00
54Fe        3.220000e-06  3.640000e-06
104Ru       0.000000e+00  0.000000e+00
56Fe        2.520000e-03  2.920000e-03
103Rh       4.390000e-18  1.010000e-19
57Fe        1.800000e-04  2.130000e-04
102Pd       3.810000e-16  1.650000e-17
58Fe        7.250000e-08  2.180000e-08
104Pd       3.190000e-18  4.540000e-21
59Co        8.610000e-05  1.080000e-04
105Pd       1.520000e-20  0.000000e+00
